ano,mes,CONSUMO_ARMAZENAMENTO,BIOMASSA_OUTROS,CONSUMO_BOMBAGEM,INJECAO_BATERIAS,CONSUMO_BATERIAS,CONSUMO,BIOMASSA_COGERACAO,EXPORTACAO,HIDRICA,IMPORTACAO,GAS_NATURAL_CICLO_COMBINADO,GAS_NATURAL_COGERACAO,PRODUCAO_NAO_RENOVAVEL,GAS_NATURAL,OUTRA_TERMICA_COGERACAO,OUTRA_TERMICA_OUTROS,OUTRA_TERMICA,PRODUCAO_ARMAZENAMENTO,PRODUCAO_BOMBAGEM,EOLICA,ONDAS,SOLAR,PRODUCAO_TOTAL,PRODUCAO_RENOVAVEL,SALDO_IMPORTADOR,BIOMASSA
2020,1,203.0,148.0,203.0,,,4857.0,123.0,804.0,1965.0,307.0,1249.0,400.0,1784.0,1650.0,6.0,18.0,24.0,165.0,165.0,1308.0,,62.0,5556.0,3607.0,-496.0,272.0
2020,2,135.0,148.0,135.0,,,4126.0,115.0,357.0,1566.0,504.0,900.0,351.0,1284.0,1251.0,6.0,15.0,20.0,111.0,111.0,807.0,,85.0,4115.0,2721.0,147.0,264.0
2020,3,197.0,159.0,197.0,,,4147.0,125.0,315.0,1202.0,542.0,683.0,382.0,1091.0,1065.0,5.0,20.0,25.0,160.0,160.0,1279.0,,100.0,4116.0,2865.0,228.0,284.0
2020,4,202.0,153.0,202.0,,,3512.0,114.0,154.0,1191.0,666.0,199.0,369.0,582.0,568.0,5.0,16.0,21.0,167.0,167.0,899.0,,96.0,3202.0,2453.0,512.0,266.0
2020,5,150.0,154.0,150.0,,,3551.0,95.0,162.0,957.0,762.0,598.0,329.0,961.0,927.0,5.0,19.0,24.0,127.0,127.0,680.0,,129.0,3102.0,2014.0,599.0,249.0
2020,6,141.0,152.0,141.0,,,3604.0,98.0,169.0,582.0,672.0,982.0,339.0,1343.0,1321.0,5.0,17.0,22.0,122.0,122.0,812.0,,134.0,3243.0,1778.0,501.0,250.0
2020,7,134.0,153.0,134.0,,,4271.0,105.0,116.0,373.0,864.0,1582.0,358.0,2046.0,1940.0,5.0,16.0,21.0,106.0,106.0,724.0,,151.0,3657.0,1506.0,748.0,257.0
2020,8,192.0,161.0,192.0,,,3948.0,122.0,370.0,371.0,563.0,1444.0,361.0,2157.0,1805.0,5.0,17.0,22.0,123.0,123.0,864.0,,149.0,3946.0,1667.0,194.0,283.0
2020,9,138.0,167.0,138.0,,,4031.0,109.0,511.0,531.0,350.0,1568.0,368.0,2510.0,1936.0,6.0,18.0,24.0,129.0,129.0,763.0,,121.0,4330.0,1691.0,-161.0,276.0
2020,10,169.0,159.0,169.0,,,4076.0,124.0,604.0,836.0,392.0,1226.0,393.0,1865.0,1619.0,6.0,12.0,19.0,150.0,150.0,1214.0,,108.0,4456.0,2441.0,-210.0,283.0
2020,11,110.0,141.0,110.0,,,4131.0,125.0,938.0,1220.0,237.0,1092.0,381.0,2150.0,1474.0,7.0,9.0,16.0,84.0,84.0,1153.0,,70.0,4943.0,2709.0,-702.0,265.0
2020,12,214.0,164.0,214.0,,,4560.0,125.0,443.0,1405.0,542.0,629.0,381.0,1185.0,1010.0,6.0,18.0,24.0,169.0,169.0,1563.0,,66.0,4677.0,3322.0,98.0,288.0
2021,1,239.0,155.0,239.0,,,4983.0,137.0,415.0,1544.0,699.0,821.0,386.0,1411.0,1207.0,2.0,17.0,20.0,170.0,170.0,1451.0,,71.0,4939.0,3357.0,283.0,291.0
2021,2,210.0,124.0,210.0,,,3996.0,129.0,987.0,2568.0,129.0,195.0,340.0,571.0,535.0,2.0,13.0,15.0,140.0,140.0,1460.0,,71.0,5064.0,4353.0,-857.0,254.0
2021,3,171.0,157.0,171.0,,,4068.0,132.0,491.0,1698.0,482.0,516.0,350.0,909.0,865.0,2.0,17.0,19.0,145.0,145.0,1070.0,,138.0,4249.0,3195.0,-10.0,289.0
2021,4,125.0,157.0,125.0,,,3743.0,133.0,470.0,993.0,655.0,1018.0,355.0,1516.0,1372.0,3.0,15.0,18.0,121.0,121.0,638.0,,126.0,3684.0,2047.0,184.0,290.0
2021,5,239.0,161.0,239.0,,,3921.0,141.0,232.0,583.0,1063.0,642.0,311.0,1006.0,953.0,3.0,18.0,21.0,200.0,200.0,1070.0,,169.0,3329.0,2123.0,831.0,302.0
2021,6,114.0,150.0,114.0,,,3842.0,139.0,291.0,648.0,615.0,1272.0,314.0,1639.0,1586.0,2.0,18.0,20.0,98.0,98.0,783.0,,176.0,3633.0,1896.0,324.0,289.0
2021,7,78.0,152.0,78.0,,,4130.0,137.0,219.0,736.0,778.0,1019.0,313.0,1417.0,1332.0,3.0,12.0,15.0,61.0,61.0,933.0,,212.0,3648.0,2170.0,560.0,290.0
2021,8,90.0,157.0,90.0,,,3961.0,138.0,112.0,482.0,1135.0,907.0,294.0,1251.0,1201.0,2.0,16.0,18.0,88.0,88.0,700.0,,212.0,3027.0,1687.0,1024.0,295.0
2021,9,111.0,161.0,111.0,,,4011.0,126.0,156.0,434.0,845.0,1296.0,278.0,1653.0,1574.0,2.0,17.0,19.0,87.0,87.0,800.0,,169.0,3431.0,1691.0,691.0,288.0
2021,10,230.0,160.0,230.0,,,4026.0,113.0,194.0,493.0,1077.0,1111.0,210.0,1380.0,1321.0,2.0,17.0,19.0,167.0,167.0,908.0,,152.0,3373.0,1826.0,883.0,273.0
2021,11,161.0,159.0,161.0,,,4286.0,129.0,295.0,666.0,764.0,1226.0,183.0,1502.0,1409.0,2.0,17.0,20.0,149.0,149.0,1249.0,,125.0,3979.0,2328.0,468.0,288.0
2021,12,220.0,164.0,220.0,,,4501.0,137.0,340.0,761.0,715.0,953.0,190.0,1159.0,1143.0,1.0,15.0,16.0,171.0,171.0,1858.0,,98.0,4349.0,3019.0,372.0,301.0
2022,1,204.0,166.0,204.0,,,4642.0,133.0,210.0,727.0,982.0,1286.0,156.0,1460.0,1442.0,2.0,17.0,19.0,159.0,159.0,1283.0,,145.0,4074.0,2455.0,772.0,299.0
2022,2,258.0,151.0,258.0,,,4115.0,123.0,100.0,212.0,1472.0,1044.0,200.0,1263.0,1245.0,2.0,16.0,18.0,202.0,202.0,890.0,,158.0,2999.0,1534.0,1375.0,274.0
2022,3,200.0,157.0,200.0,,,4458.0,144.0,305.0,597.0,906.0,1119.0,199.0,1335.0,1318.0,2.0,15.0,17.0,165.0,165.0,1497.0,,163.0,4059.0,2559.0,600.0,301.0
2022,4,288.0,157.0,288.0,,,4004.0,139.0,259.0,543.0,1022.0,850.0,230.0,1095.0,1080.0,2.0,13.0,15.0,211.0,211.0,1149.0,,236.0,3529.0,2222.0,764.0,295.0
2022,5,237.0,144.0,237.0,,,4050.0,138.0,209.0,430.0,1099.0,1123.0,230.0,1362.0,1353.0,2.0,7.0,9.0,200.0,200.0,845.0,,276.0,3395.0,1833.0,892.0,283.0
2022,6,237.0,132.0,237.0,,,3968.0,129.0,144.0,169.0,1117.0,1310.0,233.0,1551.0,1543.0,2.0,7.0,9.0,179.0,179.0,800.0,,271.0,3232.0,1502.0,973.0,261.0
2022,7,214.0,167.0,214.0,,,4414.0,135.0,74.0,175.0,1359.0,1406.0,215.0,1640.0,1621.0,2.0,17.0,19.0,161.0,161.0,767.0,,297.0,3343.0,1541.0,1286.0,302.0
2022,8,175.0,165.0,175.0,,,4025.0,115.0,110.0,157.0,1142.0,1363.0,187.0,1571.0,1550.0,3.0,18.0,21.0,146.0,146.0,720.0,,292.0,3167.0,1450.0,1033.0,281.0
2022,9,258.0,158.0,258.0,,,3992.0,101.0,164.0,343.0,1027.0,1239.0,181.0,1437.0,1420.0,3.0,14.0,17.0,183.0,183.0,920.0,,245.0,3388.0,1768.0,862.0,259.0
2022,10,337.0,152.0,337.0,,,4056.0,100.0,203.0,139.0,1123.0,1206.0,218.0,1442.0,1425.0,2.0,15.0,17.0,255.0,255.0,1193.0,,193.0,3474.0,1776.0,920.0,252.0
2022,11,269.0,140.0,269.0,,,4183.0,97.0,344.0,776.0,661.0,1223.0,229.0,1466.0,1452.0,1.0,13.0,14.0,234.0,234.0,1281.0,,145.0,4139.0,2439.0,313.0,237.0
2022,12,259.0,151.0,259.0,,,4424.0,112.0,792.0,2085.0,259.0,748.0,202.0,968.0,950.0,2.0,17.0,19.0,176.0,176.0,1615.0,,111.0,5219.0,4074.0,-536.0,264.0
2023,1,317.0,151.0,317.0,,,4829.0,111.0,565.0,2637.0,380.0,429.0,158.0,608.0,587.0,3.0,18.0,21.0,224.0,224.0,1415.0,,187.0,5334.0,4502.0,-188.0,262.0
2023,2,227.0,146.0,227.0,,,4235.0,94.0,524.0,1179.0,648.0,1159.0,161.0,1339.0,1320.0,3.0,16.0,18.0,192.0,192.0,1175.0,,213.0,4337.0,2806.0,124.0,239.0
2023,3,302.0,168.0,302.0,,,4406.0,94.0,168.0,839.0,1453.0,472.0,173.0,666.0,645.0,2.0,20.0,21.0,214.0,214.0,1152.0,,291.0,3423.0,2542.0,1286.0,261.0
2023,4,344.0,151.0,344.0,,,3775.0,105.0,149.0,407.0,1551.0,403.0,143.0,560.0,545.0,2.0,13.0,15.0,272.0,272.0,851.0,,365.0,2712.0,1880.0,1406.0,257.0
2023,5,353.0,138.0,353.0,,,3978.0,100.0,101.0,241.0,1496.0,513.0,160.0,689.0,672.0,2.0,15.0,17.0,265.0,265.0,1132.0,,369.0,2933.0,1979.0,1398.0,238.0
2023,6,211.0,132.0,211.0,,,3999.0,97.0,142.0,584.0,1236.0,880.0,199.0,1098.0,1079.0,3.0,16.0,19.0,183.0,183.0,657.0,,363.0,3113.0,1832.0,1097.0,229.0
2023,7,301.0,147.0,301.0,,,4177.0,90.0,113.0,252.0,1303.0,997.0,197.0,1215.0,1193.0,3.0,19.0,22.0,225.0,225.0,921.0,,435.0,3285.0,1846.0,1193.0,237.0
2023,8,313.0,155.0,313.0,,,4100.0,101.0,141.0,252.0,1374.0,817.0,160.0,998.0,977.0,4.0,17.0,21.0,254.0,254.0,995.0,,421.0,3177.0,1925.0,1236.0,256.0
2023,9,322.0,139.0,322.0,,,3979.0,94.0,142.0,392.0,1437.0,906.0,145.0,1061.0,1051.0,4.0,6.0,10.0,272.0,272.0,726.0,,318.0,3003.0,1670.0,1298.0,234.0
2023,10,328.0,139.0,328.0,,,4183.0,96.0,357.0,1016.0,1044.0,595.0,117.0,720.0,713.0,3.0,4.0,7.0,284.0,284.0,1327.0,,242.0,3824.0,2820.0,688.0,234.0
2023,11,263.0,123.0,263.0,,,4324.0,79.0,599.0,2123.0,520.0,409.0,151.0,567.0,560.0,1.0,5.0,6.0,206.0,206.0,1372.0,,197.0,4667.0,3895.0,-81.0,202.0
2023,12,345.0,144.0,345.0,,,4718.0,103.0,329.0,1849.0,1105.0,343.0,158.0,515.0,501.0,3.0,10.0,13.0,289.0,289.0,1202.0,,186.0,4287.0,3484.0,775.0,247.0
2024,1,310.0,158.0,310.0,,,4904.0,97.0,522.0,2319.0,770.0,513.0,170.0,704.0,682.0,3.0,19.0,22.0,269.0,269.0,1220.0,0.0,201.0,4968.0,3994.0,247.0,255.0
2024,2,404.0,152.0,404.0,0.0,0.0,4271.0,120.0,529.0,1762.0,628.0,286.0,121.0,428.0,407.0,3.0,18.0,21.0,327.0,327.0,1525.0,0.0,261.0,4575.0,3819.0,100.0,272.0
2024,3,477.0,154.0,477.0,0.0,0.0,4524.0,128.0,983.0,2484.0,476.0,331.0,122.0,475.0,454.0,3.0,18.0,21.0,361.0,361.0,1586.0,0.0,320.0,5508.0,4672.0,-507.0,282.0
2024,4,423.0,156.0,423.0,0.0,0.0,3946.0,116.0,804.0,1965.0,830.0,38.0,120.0,179.0,158.0,3.0,19.0,21.0,360.0,360.0,1143.0,0.0,423.0,4343.0,3804.0,27.0,273.0
2024,5,446.0,165.0,446.0,0.0,0.0,4072.0,133.0,267.0,976.0,1402.0,10.0,110.0,141.0,120.0,3.0,18.0,21.0,352.0,352.0,1087.0,0.0,528.0,3382.0,2889.0,1137.0,298.0
2024,6,346.0,147.0,346.0,0.0,0.0,3939.0,124.0,147.0,782.0,1713.0,24.0,127.0,170.0,151.0,3.0,16.0,19.0,271.0,271.0,732.0,0.0,488.0,2715.0,2274.0,1570.0,271.0
2024,7,355.0,147.0,355.0,0.0,0.0,4315.0,118.0,163.0,625.0,1833.0,220.0,155.0,392.0,375.0,2.0,14.0,16.0,293.0,293.0,770.0,0.0,651.0,2996.0,2311.0,1674.0,265.0
2024,8,348.0,150.0,348.0,0.0,0.0,4119.0,139.0,183.0,496.0,1673.0,245.0,137.0,404.0,382.0,2.0,19.0,22.0,275.0,275.0,862.0,0.0,647.0,2972.0,2293.0,1495.0,288.0
2024,9,394.0,135.0,394.0,0.0,0.0,4075.0,117.0,141.0,486.0,1574.0,281.0,125.0,423.0,406.0,3.0,14.0,17.0,325.0,325.0,1061.0,0.0,484.0,3032.0,2283.0,1438.0,252.0
2024,10,447.0,149.0,447.0,0.0,0.0,4327.0,72.0,300.0,1012.0,1283.0,304.0,121.0,446.0,424.0,2.0,20.0,22.0,360.0,360.0,1431.0,0.0,320.0,3791.0,2985.0,984.0,221.0
2024,11,387.0,148.0,387.0,0.0,0.0,4250.0,80.0,279.0,978.0,1081.0,461.0,112.0,594.0,572.0,3.0,19.0,22.0,305.0,305.0,1461.0,0.0,266.0,3833.0,2933.0,804.0,228.0
2024,12,407.0,162.0,407.0,0.0,0.0,4654.0,96.0,190.0,655.0,1686.0,611.0,121.0,755.0,732.0,3.0,20.0,23.0,324.0,324.0,1256.0,0.0,316.0,3564.0,2485.0,1498.0,258.0
