ano,mes,CLIENTES_AP,MERCADO_CONVENCIONAL,MERCADO_ELETRICO,REDE_DISTRIBUICAO,UAG,CONSUMO_TOTAL
2020,1,1508.0,4187.0,2564.0,2482.0,196.0,6751.0
2020,2,1206.0,3548.0,1855.0,2183.0,159.0,5403.0
2020,3,1527.0,3906.0,1414.0,2218.0,161.0,5320.0
2020,4,1366.0,3205.0,426.0,1719.0,119.0,3631.0
2020,5,874.0,2682.0,1240.0,1693.0,115.0,3923.0
2020,6,1202.0,3013.0,1986.0,1695.0,117.0,4999.0
2020,7,1356.0,3319.0,3184.0,1839.0,124.0,6503.0
2020,8,1500.0,3377.0,2914.0,1690.0,188.0,6291.0
2020,9,1439.0,3635.0,3148.0,1979.0,218.0,6783.0
2020,10,1470.0,3749.0,2468.0,2115.0,164.0,6217.0
2020,11,1376.0,3720.0,2242.0,2175.0,168.0,5962.0
2020,12,1418.0,3811.0,1278.0,2212.0,181.0,5088.0
2021,1,1546.0,4278.0,1700.0,2528.0,204.0,5978.0
2021,2,1387.0,3641.0,433.0,2096.0,158.0,4074.0
2021,3,1476.0,3905.0,1084.0,2262.0,166.0,4988.0
2021,4,1431.0,3647.0,2064.0,2056.0,160.0,5711.0
2021,5,1287.0,3554.0,1337.0,2105.0,162.0,4890.0
2021,6,1276.0,3353.0,2557.0,1922.0,155.0,5910.0
2021,7,1164.0,3305.0,2036.0,1980.0,162.0,5341.0
2021,8,1219.0,3123.0,1860.0,1713.0,191.0,4983.0
2021,9,1162.0,3371.0,2624.0,2002.0,207.0,5995.0
2021,10,940.0,3082.0,2225.0,1966.0,175.0,5306.0
2021,11,702.0,3135.0,2489.0,2227.0,205.0,5623.0
2021,12,760.0,3105.0,1920.0,2149.0,196.0,5026.0
2022,1,699.0,3076.0,2619.0,2169.0,207.0,5695.0
2022,2,646.0,2835.0,2132.0,2007.0,183.0,4967.0
2022,3,698.0,3104.0,2269.0,2213.0,192.0,5373.0
2022,4,797.0,2883.0,1738.0,1918.0,167.0,4621.0
2022,5,776.0,2764.0,2274.0,1853.0,135.0,5038.0
2022,6,947.0,2848.0,2618.0,1770.0,131.0,5466.0
2022,7,1000.0,2814.0,2814.0,1679.0,135.0,5628.0
2022,8,982.0,2635.0,2749.0,1463.0,190.0,5383.0
2022,9,762.0,2630.0,2496.0,1701.0,167.0,5126.0
2022,10,776.0,2580.0,2423.0,1685.0,119.0,5003.0
2022,11,835.0,2836.0,2471.0,1863.0,138.0,5306.0
2022,12,745.0,2692.0,1507.0,1798.0,149.0,4199.0
2023,1,796.0,3011.0,950.0,2048.0,167.0,3962.0
2023,2,533.0,2550.0,2343.0,1863.0,154.0,4893.0
2023,3,916.0,3080.0,959.0,2004.0,160.0,4039.0
2023,4,867.0,2615.0,838.0,1623.0,124.0,3453.0
2023,5,843.0,2730.0,1069.0,1744.0,143.0,3799.0
2023,6,904.0,2663.0,1772.0,1613.0,147.0,4435.0
2023,7,915.0,2708.0,2022.0,1630.0,163.0,4730.0
2023,8,871.0,2481.0,1670.0,1416.0,195.0,4152.0
2023,9,825.0,2679.0,1825.0,1667.0,186.0,4504.0
2023,10,631.0,2425.0,1224.0,1652.0,142.0,3649.0
2023,11,824.0,2771.0,889.0,1780.0,166.0,3660.0
2023,12,1015.0,2977.0,745.0,1779.0,183.0,3721.0
2024,1,940.0,3124.0,1096.0,1985.0,199.0,4220.0
2024,2,970.0,2948.0,622.0,1802.0,176.0,3571.0
2024,3,954.0,3074.0,728.0,1939.0,180.0,3802.0
2024,4,857.0,2741.0,121.0,1732.0,152.0,2862.0
2024,5,830.0,2746.0,46.0,1760.0,156.0,2792.0
2024,6,842.0,2578.0,74.0,1595.0,141.0,2652.0
2024,7,910.0,2675.0,479.0,1617.0,148.0,3155.0
2024,8,904.0,2432.0,514.0,1339.0,189.0,2945.0
2024,9,810.0,2702.0,600.0,1676.0,216.0,3302.0
2024,10,889.0,2808.0,644.0,1742.0,177.0,3451.0
2024,11,817.0,2696.0,965.0,1713.0,166.0,3661.0
2024,12,903.0,2849.0,1268.0,1754.0,191.0,4116.0
